search_rank,product_name,old_price,discount,new_price,source,rating,number_of_ratings,official_store,brand_name
1,Over Size  Heavy Jersey T-Shirt Wine,479.0,50,240.0,sutra,,,official_store,sutra
2,Linen Basic Shirt Dark Blue,749.0,50,375.0,sutra,,,official_store,sutra
3,Basic Slim Fit Round T-Shirt Mostard,299.0,50,150.0,sutra,,,official_store,sutra
4,Injection Polo T-Shirt Blue,499.0,50,250.0,sutra,,,official_store,sutra
5,Short Sleeves Stripped FZ Shirt Turquoise,499.0,50,250.0,sutra,,,official_store,sutra
6,Short Sleeves Lozenge Shirt Red,449.0,50,225.0,sutra,,,official_store,sutra
7,Short Sleeves Letter String Shirt Green,449.0,50,225.0,sutra,,,official_store,sutra
8,Over Size PR-Palestine Dark Blue,499.0,50,250.0,sutra,,,official_store,sutra
9,Slim Fit Polo Basic Light Blue,499.0,50,250.0,sutra,,,official_store,sutra
10,Slim Fit Polo Basic Iron,499.0,50,250.0,sutra,,,official_store,sutra
11,Over Size Beehive T-Shirt Green,299.0,50,150.0,sutra,,,official_store,sutra
12,Short Sleeves Printed Shirt 10,449.0,50,225.0,sutra,,,official_store,sutra
1,Over Size Beehive T-Shirt Oily,299.0,50,150.0,sutra,,,official_store,sutra
2,Linen Line Shirt Pink,699.0,50,350.0,sutra,,,official_store,sutra
3,Short Sleeves Mandela Shirt Black,449.0,50,225.0,sutra,,,official_store,sutra
4,Basic Cookies Shirt White,849.0,50,425.0,sutra,,,official_store,sutra
5,Basic Cookies Shirt Silver,849.0,50,425.0,sutra,,,official_store,sutra
6,Basic Cookies Shirt Indigo,849.0,50,425.0,sutra,,,official_store,sutra
7,Basic Cookies Shirt Coffee,849.0,50,425.0,sutra,,,official_store,sutra
8,Linen Line Shirt Coffee,699.0,50,350.0,sutra,,,official_store,sutra
9,Linen Line Shirt Mostard,699.0,50,350.0,sutra,,,official_store,sutra
10,Boy T-Shirt PR-Pacman Silver,299.0,50,150.0,sutra,,,official_store,sutra
11,Boy T-Shirt PR-Pacman White,299.0,50,150.0,sutra,,,official_store,sutra
12,Short Sleeves Island Shirt Coffee,429.0,50,215.0,sutra,,,official_store,sutra
1,Slim Fit Polo Basic Green,499.0,50,250.0,sutra,,,official_store,sutra
2,Short Sleeves Lozenge Shirt Green,449.0,50,225.0,sutra,,,official_store,sutra
3,Basic Slim Fit Round T-Shirt Green,299.0,50,150.0,sutra,,,official_store,sutra
4,Boy T-Shirt PR-Moabd White,299.0,50,150.0,sutra,,,official_store,sutra
5,Boy T-Shirt PR-Horizontal Line Beige,299.0,50,150.0,sutra,,,official_store,sutra
6,Boy T-Shirt PR-Pacman Black,299.0,50,150.0,sutra,,,official_store,sutra
7,Over Size Beehive T-Shirt Beige,299.0,50,150.0,sutra,,,official_store,sutra
8,Over Size Beehive T-Shirt Wine,299.0,50,150.0,sutra,,,official_store,sutra
9,Linen Line Shirt Mint,699.0,50,350.0,sutra,,,official_store,sutra
10,Basic Slim Fit Round T-Shirt Sky Blue,299.0,50,150.0,sutra,,,official_store,sutra
11,Over Size  Heavy Jersey T-Shirt Aqua,479.0,50,240.0,sutra,,,official_store,sutra
12,Hashtag Shirt Black,549.0,50,275.0,sutra,,,official_store,sutra
1,Injection Polo T-Shirt Gray,499.0,50,250.0,sutra,,,official_store,sutra
2,Short Sleeves River Shirt Blue,499.0,50,250.0,sutra,,,official_store,sutra
3,Short Sleeves Printed Shirt 11,449.0,50,225.0,sutra,,,official_store,sutra
4,Boy T-Shirt PR-One Nation Black,299.0,50,150.0,sutra,,,official_store,sutra
5,Boy T-Shirt PR-Horizontal Line Sky Blue,299.0,50,150.0,sutra,,,official_store,sutra
6,Boy T-Shirt PR-Pacman Games White,299.0,50,150.0,sutra,,,official_store,sutra
7,Boy T-Shirt PR-Arabic Sleeves Black,299.0,50,150.0,sutra,,,official_store,sutra
8,Short Sleeves Island Shirt Gray,429.0,50,215.0,sutra,,,official_store,sutra
9,Basic T-Shirt SUTRA Collar Black,499.0,50,250.0,sutra,,,official_store,sutra
10,Over Size Heavy Round T-Shirt Green,479.0,50,240.0,sutra,,,official_store,sutra
11,Over Size Heavy Round T-Shirt Black,479.0,50,240.0,sutra,,,official_store,sutra
12,Basic Slim Fit Round T-Shirt Indigo,299.0,50,150.0,sutra,,,official_store,sutra
1,Basic Slim Fit Round T-Shirt Petrol,299.0,50,150.0,sutra,,,official_store,sutra
2,Over Size Hoodie T-Shirt Light Move,299.0,50,150.0,sutra,,,official_store,sutra
3,Short Sleeves Letter String Shirt Beige,449.0,50,225.0,sutra,,,official_store,sutra
4,Linen Line Shirt Dark Blue,699.0,50,350.0,sutra,,,official_store,sutra
5,Magnetic Shirt Black,549.0,50,275.0,sutra,,,official_store,sutra
6,Magnetic Shirt Coffee,549.0,50,275.0,sutra,,,official_store,sutra
7,Scratch Shirt Coffee,549.0,50,275.0,sutra,,,official_store,sutra
8,Scratch Shirt Black,549.0,50,275.0,sutra,,,official_store,sutra
9,Slim Fit Polo Basic Brown,499.0,50,250.0,sutra,,,official_store,sutra
10,Basic T-Shirt SUTRA Collar Move,499.0,50,250.0,sutra,,,official_store,sutra
11,Slim Fit Polo Basic Dark Blue,499.0,50,250.0,sutra,,,official_store,sutra
12,Boy T-Shirt PR-Save The Planet White,299.0,50,150.0,sutra,,,official_store,sutra
1,Boy T-Shirt PR-Save The Planet Petrol,299.0,50,150.0,sutra,,,official_store,sutra
2,Half Button Up Shirt Gray,499.0,50,250.0,sutra,,,official_store,sutra
3,Short Sleeves River Shirt Green,499.0,50,250.0,sutra,,,official_store,sutra
4,Short Sleeves River Shirt Coffee,499.0,50,250.0,sutra,,,official_store,sutra
5,Short Sleeves Printed Shirt 14,449.0,50,225.0,sutra,,,official_store,sutra
6,Short Sleeves Printed Shirt 13,449.0,50,225.0,sutra,,,official_store,sutra
7,Short Sleeves Printed Shirt 7,449.0,50,225.0,sutra,,,official_store,sutra
8,Short Sleeves Printed Shirt 9,449.0,50,225.0,sutra,,,official_store,sutra
9,Basic Slim Fit Round T-Shirt Orange,299.0,50,150.0,sutra,,,official_store,sutra
10,Short Sleeves FZ Fullcover Shirt Red,499.0,50,250.0,sutra,,,official_store,sutra
11,Short Sleeves Triangle Shirt Gray,479.0,50,240.0,sutra,,,official_store,sutra
12,Basic T-Shirt SUTRA Collar Beige,499.0,50,250.0,sutra,,,official_store,sutra
1,Short Sleeves Anchor Shirt Beige,449.0,50,225.0,sutra,,,official_store,sutra
2,Short Sleeves Anchor Shirt Blue,449.0,50,225.0,sutra,,,official_store,sutra
3,Short Sleeves Flower Shirt Havan,429.0,50,215.0,sutra,,,official_store,sutra
4,boy T-Shirt PR-Glitch Black,299.0,50,150.0,sutra,,,official_store,sutra
5,Boy T-Shirt PR-Two Lines White&Orange,299.0,50,150.0,sutra,,,official_store,sutra
6,Boy T-Shirt PR-Two Lines White&Blue,299.0,50,150.0,sutra,,,official_store,sutra
7,Short Sleeves Palm Shirt Move,449.0,50,225.0,sutra,,,official_store,sutra
8,Short Sleeves FZ Flower Shirt Red,499.0,50,250.0,sutra,,,official_store,sutra
9,Boy T-Shirt PR-Scratch Petrol,299.0,50,150.0,sutra,,,official_store,sutra
10,Slim Fit Polo Basic Mint,499.0,50,250.0,sutra,,,official_store,sutra
11,Basic Poplin Shirt Black,499.0,50,250.0,sutra,,,official_store,sutra
12,Short Sleeves Printed Shirt 3,449.0,50,225.0,sutra,,,official_store,sutra
1,Basic Slim Fit Round T-Shirt Purple,299.0,50,150.0,sutra,,,official_store,sutra
2,Basic Derby T-Shirt White,479.0,50,240.0,sutra,,,official_store,sutra
3,Over Size Hoodie T-Shirt White,299.0,50,150.0,sutra,,,official_store,sutra
4,Over Size Heavy Jersey T-Shirt Beige,479.0,50,240.0,sutra,,,official_store,sutra
5,Short Sleeves Triangle Shirt White,479.0,50,240.0,sutra,,,official_store,sutra
6,Short Sleeves Flower Shirt Wine,429.0,50,215.0,sutra,,,official_store,sutra
7,Slim Fit Polo Basic Dark Gray,499.0,50,250.0,sutra,,,official_store,sutra
8,White Polo Light Green Collar,399.0,50,200.0,sutra,,,official_store,sutra
9,lol Shirt Beige,649.0,50,325.0,sutra,,,official_store,sutra
10,lol Shirt White,649.0,50,325.0,sutra,,,official_store,sutra
11,Short Sleeves Mandela Shirt Dark Blue,449.0,50,225.0,sutra,,,official_store,sutra
12,boy T-Shirt PR-Defected Line Petrol,299.0,50,150.0,sutra,,,official_store,sutra
1,Kid T-Shirt PR-Symbols White,299.0,50,150.0,sutra,,,official_store,sutra
2,Kid T-Shirt PR-Cool White,299.0,50,150.0,sutra,,,official_store,sutra
3,boy T-Shirt PR-Summer Black,299.0,50,150.0,sutra,,,official_store,sutra
4,boy T-Shirt PR-Waves White,299.0,50,150.0,sutra,,,official_store,sutra
5,boy T-Shirt PR-Freeway White,299.0,50,150.0,sutra,,,official_store,sutra
6,Boy T-Shirt PR-Don’t Angry Me Dark Gray,299.0,50,150.0,sutra,,,official_store,sutra
7,Over Size Hoodie T-Shirt Mostard,299.0,50,150.0,sutra,,,official_store,sutra
8,Over Size Heavy Jersey T-Shirt Black,479.0,50,240.0,sutra,,,official_store,sutra
9,Short Sleeves Letter String Shirt Blue,449.0,50,225.0,sutra,,,official_store,sutra
10,Half Button Up Shirt Watermelon,499.0,50,250.0,sutra,,,official_store,sutra
11,Short Sleeves Palm Shirt Black,449.0,50,225.0,sutra,,,official_store,sutra
12,Basic Derby T-Shirt Dark Blue,479.0,50,240.0,sutra,,,official_store,sutra
1,Short Sleeves Pocket Shirt Simon,449.0,50,225.0,sutra,,,official_store,sutra
2,Short Sleeves Pocket Shirt Green,449.0,50,225.0,sutra,,,official_store,sutra
3,Short Sleeves Pocket Shirt Gray,449.0,50,225.0,sutra,,,official_store,sutra
4,Linen Basic Shirt Green,749.0,50,375.0,sutra,,,official_store,sutra
5,Magnetic Shirt White,549.0,50,275.0,sutra,,,official_store,sutra
6,Over Size PR_Different Black,349.0,50,175.0,sutra,,,official_store,sutra
7,Short Sleeves FZ Flower Shirt Turquoise,499.0,50,250.0,sutra,,,official_store,sutra
8,Basic Derby T-Shirt Beige,479.0,50,240.0,sutra,,,official_store,sutra
9,boy T-Shirt PR-Zigzag Silver,299.0,50,150.0,sutra,,,official_store,sutra
10,Linen Line Shirt Black,699.0,50,350.0,sutra,,,official_store,sutra
11,boy T-Shirt PR-Tag Dark Gray,299.0,50,150.0,sutra,,,official_store,sutra
12,boy T-Shirt PR-Wasp Nest Silver,299.0,50,150.0,sutra,,,official_store,sutra
1,boy T-Shirt PR-Green Shadow White,299.0,50,150.0,sutra,,,official_store,sutra
2,boy T-Shirt PR-Rubik Cube Black,299.0,50,150.0,sutra,,,official_store,sutra
3,boy T-Shirt PR-Boy Pocket White,299.0,50,150.0,sutra,,,official_store,sutra
4,Over Size Beehive T-Shirt Simon,299.0,50,150.0,sutra,,,official_store,sutra
5,Linen Basic Shirt Injection Wine,749.0,50,375.0,sutra,,,official_store,sutra
6,Short Sleeves FZ Fullcover Shirt Black,499.0,50,250.0,sutra,,,official_store,sutra
7,Short Sleeves FZ Fullcover Shirt Indigo,499.0,50,250.0,sutra,,,official_store,sutra
8,lol Shirt Baby Blue,649.0,50,325.0,sutra,,,official_store,sutra
9,lol Shirt Dark Gray,649.0,50,325.0,sutra,,,official_store,sutra
10,Over Size Hoodie T-Shirt Sky Blue,299.0,50,150.0,sutra,,,official_store,sutra
11,Linen Basic Shirt Beige,749.0,50,375.0,sutra,,,official_store,sutra
12,Linen Basic Shirt Aqua,749.0,50,375.0,sutra,,,official_store,sutra
1,boy T-Shirt PR-Error Sky Blue,299.0,50,150.0,sutra,,,official_store,sutra
2,Injection Polo T-Shirt Black,499.0,50,250.0,sutra,,,official_store,sutra
3,Short Sleeves FZ Shirt 3,499.0,50,250.0,sutra,,,official_store,sutra
4,boy T-Shirt PR-Palestine White,299.0,50,150.0,sutra,,,official_store,sutra
5,boy T-Shirt PR-Stay Unique Paint White,299.0,50,150.0,sutra,,,official_store,sutra
6,Linen Basic Shirt Baby Blue,749.0,50,375.0,sutra,,,official_store,sutra
7,boy T-Shirt PR-Trust No One Beige,299.0,50,150.0,sutra,,,official_store,sutra
8,Short Sleeves FZ Fullcover Shirt Green,499.0,50,250.0,sutra,,,official_store,sutra
9,Over Size Heavy Jersey T-Shirt Red,479.0,50,240.0,sutra,,,official_store,sutra
10,Over Size  Heavy Jersey T-Shirt Petrol,479.0,50,240.0,sutra,,,official_store,sutra
11,Over Size Heavy Jersey T-Shirt Orange,479.0,50,240.0,sutra,,,official_store,sutra
12,Over Size Heavy Jersey T-Shirt Iron,479.0,50,240.0,sutra,,,official_store,sutra
1,Over Size Heavy Jersey T-Shirt Simon,479.0,50,240.0,sutra,,,official_store,sutra
2,Over Size Heavy Jersey T-Shirt Cashmire,479.0,50,240.0,sutra,,,official_store,sutra
3,Injection Polo T-Shirt Olive,499.0,50,250.0,sutra,,,official_store,sutra
4,Heavy Two Color T-Shirt Black,499.0,50,250.0,sutra,,,official_store,sutra
5,Over Size Two Color T-Shirt Oliy,499.0,50,250.0,sutra,,,official_store,sutra
6,Over Size Heavy Jersey T-Shirt White,479.0,50,240.0,sutra,,,official_store,sutra
7,Linen Line Shirt Baby Blue,699.0,50,350.0,sutra,,,official_store,sutra
8,Linen Line Shirt Light Move,699.0,50,350.0,sutra,,,official_store,sutra
9,Short Sleeves Stripped FZ Shirt Wine,499.0,50,250.0,sutra,,,official_store,sutra
10,Short Sleeves Stripped FZ Shirt Mostard,499.0,50,250.0,sutra,,,official_store,sutra
11,Full Cover Shirt Gray,549.0,50,275.0,sutra,,,official_store,sutra
12,Linen Basic Shirt Rose,749.0,50,375.0,sutra,,,official_store,sutra
1,Over Size Heavy Jersey T-Shirt Yellow,479.0,50,240.0,sutra,,,official_store,sutra
2,Kid T-Shirt PR-Lines&Dots White&Blue,299.0,50,150.0,sutra,,,official_store,sutra
3,Kid T-Shirt PR-Fall Lines White&Blue,299.0,50,150.0,sutra,,,official_store,sutra
4,Kid T-Shirt PR-Lines&Dots White&Red,299.0,50,150.0,sutra,,,official_store,sutra
5,boy T-Shirt PR-Good Vipe Dark Blue,299.0,50,150.0,sutra,,,official_store,sutra
6,Over Size Heavy Jersey T-Shirt Gray,479.0,50,240.0,sutra,,,official_store,sutra
7,Over Size Heavy Jersey T-Shirt Purple,479.0,50,240.0,sutra,,,official_store,sutra
8,Over Size Heavy Jersey T-Shirt Matt Green,479.0,50,240.0,sutra,,,official_store,sutra
9,Over Size Heavy Jersey T-Shirt Mint,479.0,50,240.0,sutra,,,official_store,sutra
10,Heavy Two Color T-Shirt SUTRA EST Black,499.0,50,250.0,sutra,,,official_store,sutra
11,Injection Round T-Shirt Gray,499.0,50,250.0,sutra,,,official_store,sutra
12,Slim Fit Striped Round T-Shirt Indigo,499.0,50,250.0,sutra,,,official_store,sutra
1,Slim Fit Striped Round T-Shirt Black,499.0,50,250.0,sutra,,,official_store,sutra
2,Over Size Heavy Round T-Shirt Aqua,479.0,50,240.0,sutra,,,official_store,sutra
3,Short Sleeves FZ Shirt 2,499.0,50,250.0,sutra,,,official_store,sutra
4,Short Sleeves FZ Shirt 4,499.0,50,250.0,sutra,,,official_store,sutra
5,Short Sleeves FZ Shirt 1,499.0,50,250.0,sutra,,,official_store,sutra
6,Short Sleeves Pocket Shirt Cashmere,449.0,50,225.0,sutra,,,official_store,sutra
7,Over Size Heavy Jersey T-Shirt Dark Green,479.0,50,240.0,sutra,,,official_store,sutra
8,Over Size Heavy Jersey T-Shirt Light Green,479.0,50,240.0,sutra,,,official_store,sutra
9,Short Sleeves Poplin Cactus Shirt Green,499.0,50,250.0,sutra,,,official_store,sutra
10,Short Sleeves Poplin Cactus Shirt Gray,499.0,50,250.0,sutra,,,official_store,sutra
11,Long Sleeves R.K Striped Shirt Light Move,549.0,50,275.0,sutra,,,official_store,sutra
12,Full Cover Shirt Dark Blue,549.0,50,275.0,sutra,,,official_store,sutra
1,Full Cover Shirt Baby Blue,549.0,50,275.0,sutra,,,official_store,sutra
2,Short Sleeves Pocket Shirt Watermelon,449.0,50,225.0,sutra,,,official_store,sutra
3,Short Sleeves Pocket Shirt Beige,449.0,50,225.0,sutra,,,official_store,sutra
4,Short Sleeves Pocket Shirt Indigo,449.0,50,225.0,sutra,,,official_store,sutra
5,Over Size Heavy Jersey T-Shirt Light Blue,479.0,50,240.0,sutra,,,official_store,sutra
6,Over Size Heavy Jersey T-Shirt Dark Gray,479.0,50,240.0,sutra,,,official_store,sutra
7,Over Size Heavy Jersey T-Shirt Dark Blue,479.0,50,240.0,sutra,,,official_store,sutra
8,Over Size Heavy Jersey T-Shirt Light Move,479.0,50,240.0,sutra,,,official_store,sutra
9,Heavy Two Color T-Shirt Moabd BlackXBeige,499.0,50,250.0,sutra,,,official_store,sutra
10,Heavy Two Color T-Shirt Moabd BlackXGreen,499.0,50,250.0,sutra,,,official_store,sutra
11,Heavy Two Color T-Shirt Moabd WhiteXBlack,499.0,50,250.0,sutra,,,official_store,sutra
12,Heavy Two Color T-Shirt Baby Blue,499.0,50,250.0,sutra,,,official_store,sutra
1,Kid T-Shirt PR-Mickey White,299.0,50,150.0,sutra,,,official_store,sutra
2,Over Size Heavy Round T-Shirt Inj Move,479.0,50,240.0,sutra,,,official_store,sutra
3,Over Size Heavy Round T-Shirt Watermelon,479.0,50,240.0,sutra,,,official_store,sutra
4,Over Size Heavy Round T-Shirt Yellow,479.0,50,240.0,sutra,,,official_store,sutra
5,Over Size Heavy Round T-Shirt Red,479.0,50,240.0,sutra,,,official_store,sutra
6,Over Size Heavy Jersey T-Shirt Bistage,479.0,50,240.0,sutra,,,official_store,sutra
7,Basic Slim Fit Round T-Shirt Silver,299.0,50,150.0,sutra,,,official_store,sutra
