search_rank,product_name,old_price,discount,new_price,source,rating,number_of_ratings,official_store,brand_name
8,Long Sleeves R.K Striped Shirt Baby Blue,549.0,50,275.0,sutra,,,official_store,sutra
9,Basic Slim Fit Round T-Shirt Light Green,299.0,50,150.0,sutra,,,official_store,sutra
10,Heavy Two Color T-Shirt SUTRA EST Baby Blue,499.0,50,250.0,sutra,,,official_store,sutra
11,Heavy Two Color T-Shirt Stay Unique Black,499.0,50,250.0,sutra,,,official_store,sutra
12,Heavy Two Color T-Shirt Stay Unique Coffee,499.0,50,250.0,sutra,,,official_store,sutra
1,Heavy Two Color T-Shirt Stay Unique Green,499.0,50,250.0,sutra,,,official_store,sutra
2,Over Size Heavy Round T-Shirt Dark Blue,479.0,50,240.0,sutra,,,official_store,sutra
3,Short Sleeves Poplin Scratch Shirt Baby Blue,499.0,50,250.0,sutra,,,official_store,sutra
4,Short Sleeves Poplin Scratch Shirt Dark Blue,499.0,50,250.0,sutra,,,official_store,sutra
5,Short Sleeves Pocket Shirt Dark Gray,449.0,50,225.0,sutra,,,official_store,sutra
6,Heavy Two Color T-Shirt SUTRA EST Dark Blue,499.0,50,250.0,sutra,,,official_store,sutra
7,Over Size Heavy Round T-Shirt Inj Dark Gray,479.0,50,240.0,sutra,,,official_store,sutra
8,Over Size Heavy Round T-Shirt Inj Oily,479.0,50,240.0,sutra,,,official_store,sutra
9,Over Size Heavy Round T-Shirt Inj Blue,479.0,50,240.0,sutra,,,official_store,sutra
10,Over Size Heavy Round T-Shirt Inj Wine,479.0,50,240.0,sutra,,,official_store,sutra
11,Over Size Heavy Round T-Shirt Inj Green,479.0,50,240.0,sutra,,,official_store,sutra
12,Over Size Heavy Round T-Shirt Inj Gray,479.0,50,240.0,sutra,,,official_store,sutra
1,Over Size Heavy Round T-Shirt Light Beige,479.0,50,240.0,sutra,,,official_store,sutra
2,Over Size Heavy Round T-Shirt Light Red,479.0,50,240.0,sutra,,,official_store,sutra
3,Long Sleeves R.K Striped Shirt Rose&Baby Blue,549.0,50,275.0,sutra,,,official_store,sutra
4,Over Size Heavy Round T-Shirt Sky Blue,479.0,50,240.0,sutra,,,official_store,sutra
5,Boy T-Shirt PR-Two Lines White&Green,299.0,50,150.0,sutra,,,official_store,sutra
6,Over Size Beehive T-Shirt Black,299.0,50,150.0,sutra,,,official_store,sutra
7,Short Sleeves Triangle Shirt Beige,479.0,50,240.0,sutra,,,official_store,sutra
8,Short Sleeves Hawaii Shirt Gray,449.0,50,225.0,sutra,,,official_store,sutra
9,Half Button Up Shirt Dark Gray,499.0,50,250.0,sutra,,,official_store,sutra
10,Over Size PR-Palestine Pocket Black,499.0,50,250.0,sutra,,,official_store,sutra
11,Over Size Two Color T-Shirt Orange,499.0,50,250.0,sutra,,,official_store,sutra
12,Over Size PR-Fitrah Black,349.0,50,175.0,sutra,,,official_store,sutra
1,OVER SIZE PR-Hello World Mint,499.0,50,250.0,sutra,,,official_store,sutra
2,Over Size PR-Fullcover Pharaonic Beige,499.0,50,250.0,sutra,,,official_store,sutra
3,Over Size PR-Fullcover Pharaonic Black,499.0,50,250.0,sutra,,,official_store,sutra
4,Over Size PR-T-Rex White,349.0,50,175.0,sutra,,,official_store,sutra
5,Linen Big Line Gray,599.0,50,300.0,sutra,,,official_store,sutra
6,Short Sleeves Pocket Shirt Baby Blue,449.0,50,225.0,sutra,,,official_store,sutra
7,Over Size PR-Pyramids Moon Beige,499.0,50,250.0,sutra,,,official_store,sutra
8,Over Size PR-Trust No One Dark Blue,349.0,50,175.0,sutra,,,official_store,sutra
9,Over Size PR-Brush Blue,349.0,50,175.0,sutra,,,official_store,sutra
10,Silver Polo Black Collar,399.0,30,279.0,sutra,,,official_store,sutra
11,Basic Slides Beka Baby Blue,329.0,50,165.0,sutra,,,official_store,sutra
12,Basic Oxford Aqua,749.0,50,375.0,sutra,,,official_store,sutra
1,Over Size PR-On Fire Beige,349.0,50,175.0,sutra,,,official_store,sutra
2,Slim Fit Polo Basic Orange,499.0,50,250.0,sutra,,,official_store,sutra
3,Poplin Thin Line Indigo,449.0,50,225.0,sutra,,,official_store,sutra
4,Poplin Thin Line Black,449.0,50,225.0,sutra,,,official_store,sutra
5,Basic Slides Beka Move,329.0,50,165.0,sutra,,,official_store,sutra
6,Over Size PR-Wings Beige,349.0,50,175.0,sutra,,,official_store,sutra
7,Basic Slides Beka Silver,329.0,50,165.0,sutra,,,official_store,sutra
8,Linen Big Line Brown,599.0,50,300.0,sutra,,,official_store,sutra
9,Basic Oxford Black,749.0,50,375.0,sutra,,,official_store,sutra
10,Basic Oxford Beige,749.0,50,375.0,sutra,,,official_store,sutra
11,Basic Oxford White,749.0,50,375.0,sutra,,,official_store,sutra
12,Slim Fit Polo Basic Pistaje,499.0,50,250.0,sutra,,,official_store,sutra
1,Slim Fit Polo Basic Cashmere,499.0,50,250.0,sutra,,,official_store,sutra
2,Slim Fit Polo Basic Light Move,499.0,50,250.0,sutra,,,official_store,sutra
3,Slim Fit Polo Basic Dark Cashmere,499.0,50,250.0,sutra,,,official_store,sutra
4,Basic Slides Beka Mint,329.0,50,165.0,sutra,,,official_store,sutra
5,Slim Fit Polo Basic Light Bistage,499.0,50,250.0,sutra,,,official_store,sutra
6,Basic Slides Beka White,329.0,50,165.0,sutra,,,official_store,sutra
7,Basic Oxford Blue,749.0,50,375.0,sutra,,,official_store,sutra
8,Basic Oxford Dark Gray,749.0,50,375.0,sutra,,,official_store,sutra
9,Basic Oxford Rose,749.0,50,375.0,sutra,,,official_store,sutra
10,Basic Oxford Injection Wine,749.0,50,375.0,sutra,,,official_store,sutra
11,Basic Oxford Emerald,749.0,50,375.0,sutra,,,official_store,sutra
12,Basic Oxford Oily,749.0,50,375.0,sutra,,,official_store,sutra
1,Basic Oxford Pistage,749.0,50,375.0,sutra,,,official_store,sutra
2,Basic Oxford Yellow,749.0,50,375.0,sutra,,,official_store,sutra
3,Slim Fit Polo Basic Olive,499.0,50,250.0,sutra,,,official_store,sutra
4,Slim Fit Polo PR-Leaves Beige,379.0,50,190.0,sutra,,,official_store,sutra
5,Slim Fit Polo Basic Coffee,499.0,50,250.0,sutra,,,official_store,sutra
6,Slim Fit Polo PR-Palm Eggplant,379.0,50,190.0,sutra,,,official_store,sutra
7,Slim Fit Polo Basic Rose,499.0,50,250.0,sutra,,,official_store,sutra
8,Short Sleeves Basic Oxford Black,449.0,50,225.0,sutra,,,official_store,sutra
9,Slim Fit Polo PR-Unique Beige,379.0,50,190.0,sutra,,,official_store,sutra
10,Slim Fit Polo Basic Injection Green,499.0,50,250.0,sutra,,,official_store,sutra
11,Slim Fit Polo Basic Watermelon,499.0,50,250.0,sutra,,,official_store,sutra
12,Over Size PR-Do not Surrender Beige,349.0,50,175.0,sutra,,,official_store,sutra
1,Over Size PR-Frog White,349.0,50,175.0,sutra,,,official_store,sutra
2,Slim Fit Polo PR-Unique Move,379.0,50,190.0,sutra,,,official_store,sutra
3,Over Size PR-Com Science White,349.0,50,175.0,sutra,,,official_store,sutra
4,Over Size PR-Khalef Petrol,349.0,50,175.0,sutra,,,official_store,sutra
5,Over Size PR-Fitrah White,349.0,50,175.0,sutra,,,official_store,sutra
6,Slim Fit Polo Basic Eggplant,499.0,50,250.0,sutra,,,official_store,sutra
7,Slim Fit Polo Basic Red,499.0,50,250.0,sutra,,,official_store,sutra
8,Slim Fit Polo Basic Simon,499.0,50,250.0,sutra,,,official_store,sutra
9,Slim Fit Polo Basic Yellow,499.0,50,250.0,sutra,,,official_store,sutra
10,OVER SIZE PR- SUTRA Star Dark Blue,349.0,50,175.0,sutra,,,official_store,sutra
11,OVER SIZE PR-Sutra Multi Color Sky Blue,349.0,50,175.0,sutra,,,official_store,sutra
12,OVER SIZE PR-Equation Dark Blue,349.0,50,175.0,sutra,,,official_store,sutra
1,OVER SIZE PR-Zigzag Green,349.0,50,175.0,sutra,,,official_store,sutra
2,OVER SIZE PR-Stay Unique Baby Blue,349.0,50,175.0,sutra,,,official_store,sutra
3,Over Size PR-SUTRA Star Green,349.0,50,175.0,sutra,,,official_store,sutra
4,Over Size PR-Weight White,349.0,50,175.0,sutra,,,official_store,sutra
5,Over Size PR-Special Language Dark Blue,349.0,50,175.0,sutra,,,official_store,sutra
6,Over Size PR-Perfect Black,349.0,50,175.0,sutra,,,official_store,sutra
7,Over Size PR-Green Shadows White,349.0,50,175.0,sutra,,,official_store,sutra
8,Over Size PR-Khalef Wine,349.0,50,175.0,sutra,,,official_store,sutra
9,Over Size PR-Architecture White,349.0,50,175.0,sutra,,,official_store,sutra
10,Over Size PR-Folklore Flower,349.0,50,175.0,sutra,,,official_store,sutra
11,Slim Fit Polo PR-Notebook White,379.0,50,190.0,sutra,,,official_store,sutra
12,Basic Oxford Light Blue,749.0,50,375.0,sutra,,,official_store,sutra
1,Linen Big Line Dark Gray,599.0,50,300.0,sutra,,,official_store,sutra
2,Zipped Polo Red,599.0,50,300.0,sutra,,,official_store,sutra
3,Zipped Polo Black,599.0,50,300.0,sutra,,,official_store,sutra
4,Basic Slides Beka Beige,329.0,50,165.0,sutra,,,official_store,sutra
5,Poplin Thin Line Baby Blue,449.0,50,225.0,sutra,,,official_store,sutra
6,Linen Big Line Blue,699.0,50,350.0,sutra,,,official_store,sutra
7,Linen Thin Line Gray,599.0,50,300.0,sutra,,,official_store,sutra
8,Linen Big Line Aqua,599.0,50,300.0,sutra,,,official_store,sutra
9,Basic Oxford Silver,749.0,50,375.0,sutra,,,official_store,sutra
10,Basic Oxford Coffee,749.0,50,375.0,sutra,,,official_store,sutra
11,Basic Oxford Mostard,749.0,50,375.0,sutra,,,official_store,sutra
12,Basic Oxford Baby Blue,749.0,50,375.0,sutra,,,official_store,sutra
1,OVER SIZE PR-Error Blue,499.0,50,250.0,sutra,,,official_store,sutra
2,Linen Big Line Blue,599.0,50,300.0,sutra,,,official_store,sutra
3,Poplin Thin Line Red,449.0,50,225.0,sutra,,,official_store,sutra
4,Poplin Big Line Beige,449.0,50,225.0,sutra,,,official_store,sutra
5,Poplin Big Line Turquoise,449.0,50,225.0,sutra,,,official_store,sutra
6,Over Size PR-Turn Coffee Black,499.0,50,250.0,sutra,,,official_store,sutra
7,Over Size PR-Cairo White,499.0,50,250.0,sutra,,,official_store,sutra
8,Knitwear Polo Line Collar Black,499.0,50,250.0,sutra,,,official_store,sutra
9,Over Size PR-Pharaonic Beige,399.0,50,200.0,sutra,,,official_store,sutra
10,OVER SIZE PR-Puzzle Havan,349.0,50,175.0,sutra,,,official_store,sutra
11,Basic Slides Beka Green,329.0,50,165.0,sutra,,,official_store,sutra
12,Over Size PR-Pyramids Dark Blue,499.0,50,250.0,sutra,,,official_store,sutra
1,Over Size PR-Palestine Pocket Green,499.0,50,250.0,sutra,,,official_store,sutra
2,Knitwear Polo Line Collar White,499.0,50,250.0,sutra,,,official_store,sutra
3,Slim Fit Polo PR-Folkloric White,499.0,50,250.0,sutra,,,official_store,sutra
4,Over Size PR-My Code Dark Blue,499.0,50,250.0,sutra,,,official_store,sutra
5,Over Size PR-Lotus Dark Blue,499.0,50,250.0,sutra,,,official_store,sutra
6,Over Size PR-Sphinx White,499.0,50,250.0,sutra,,,official_store,sutra
7,Over Size PR-Nefertiti White,499.0,50,250.0,sutra,,,official_store,sutra
8,Over Size PR-hieroglyphic Black,499.0,50,250.0,sutra,,,official_store,sutra
9,Over Size Slides Line Sleeves Green,499.0,50,250.0,sutra,,,official_store,sutra
10,Over Size PR-Maze White,349.0,50,175.0,sutra,,,official_store,sutra
11,Over Size PR-Beach White,349.0,50,175.0,sutra,,,official_store,sutra
12,Slim Fit Polo Basic Plant Green,499.0,50,250.0,sutra,,,official_store,sutra
1,Over Size PR-Sutra Multi Color Black,349.0,50,175.0,sutra,,,official_store,sutra
2,Over Size PR-Fire Ball Black,349.0,50,175.0,sutra,,,official_store,sutra
3,Over Size PR-Sutra Num Black,349.0,50,175.0,sutra,,,official_store,sutra
4,Slim Fit PR-Kite Havan,349.0,50,175.0,sutra,,,official_store,sutra
5,Slim Fit PR-Cross Line Mint,349.0,50,175.0,sutra,,,official_store,sutra
6,Over Size PR-Vibration Beige,349.0,50,175.0,sutra,,,official_store,sutra
7,Slim Fit PR-Full Cactus Green,349.0,50,175.0,sutra,,,official_store,sutra
8,Basic Slides Beka Red,329.0,50,165.0,sutra,,,official_store,sutra
9,Over Size PR-Egypt Map Black,499.0,50,250.0,sutra,,,official_store,sutra
10,Over Size PR-Pyramids Beige,499.0,50,250.0,sutra,,,official_store,sutra
11,Over Size PR-Passport Black,499.0,50,250.0,sutra,,,official_store,sutra
12,Over Size PR-Pharaonic Wings Black,499.0,50,250.0,sutra,,,official_store,sutra
1,Over Size PR-Anubis Black,499.0,50,250.0,sutra,,,official_store,sutra
2,Slim Fit Polo PR-Slash Red,499.0,50,250.0,sutra,,,official_store,sutra
3,Slim Fit Polo PR-S Black,499.0,50,250.0,sutra,,,official_store,sutra
4,Slim Fit Polo PR-Pyramids Yellow,499.0,50,250.0,sutra,,,official_store,sutra
5,Over Size PR-SUTRA Mint,499.0,50,250.0,sutra,,,official_store,sutra
6,Over Size PR-SUTRA Black,499.0,50,250.0,sutra,,,official_store,sutra
7,Over Size PR-SUTRA Green,499.0,50,250.0,sutra,,,official_store,sutra
8,Over Size Slides Line Sleeves Orange,499.0,50,250.0,sutra,,,official_store,sutra
9,Over Size PR-Great Host Silver,499.0,50,250.0,sutra,,,official_store,sutra
10,Over Size Slides Line Sleeves Mint,499.0,50,250.0,sutra,,,official_store,sutra
11,Over Size PR-Special Language Dark Blue,499.0,50,250.0,sutra,,,official_store,sutra
12,Over Size PR_Arabic Chest Mint,349.0,50,175.0,sutra,,,official_store,sutra
1,Over Size PR_Human Nature Black,349.0,50,175.0,sutra,,,official_store,sutra
2,Slim Fit Polo Basic Havan,499.0,50,250.0,sutra,,,official_store,sutra
3,Over Size PR-Inspiring Havan,349.0,50,175.0,sutra,,,official_store,sutra
4,Over Size PR-Try Black,349.0,50,175.0,sutra,,,official_store,sutra
5,Over Size Round Summer Milton Watermelon,399.0,50,200.0,sutra,,,official_store,sutra
6,Over Size PR-X-Ray Black,349.0,50,175.0,sutra,,,official_store,sutra
7,Over Size PR-Sutra Star Black,349.0,50,175.0,sutra,,,official_store,sutra
8,Over Size Round Summer Milton Yellow,399.0,50,200.0,sutra,,,official_store,sutra
9,Summer Milton Patch Karuh Black,399.0,50,200.0,sutra,,,official_store,sutra
10,Over Size PR-Hopeful Green,349.0,50,175.0,sutra,,,official_store,sutra
11,Over Size PR-Distinctive Beige,349.0,50,175.0,sutra,,,official_store,sutra
12,Over Size PR-Unique Mint,349.0,50,175.0,sutra,,,official_store,sutra
1,Over Size PR-Dreamer Baby Blue,349.0,50,175.0,sutra,,,official_store,sutra
2,Over Size PR-Vibration White,349.0,50,175.0,sutra,,,official_store,sutra
3,Over Size PR-Mexican Beige,349.0,50,175.0,sutra,,,official_store,sutra
4,Over Size PR-I’m Programmer Black,499.0,50,250.0,sutra,,,official_store,sutra
5,Over Size PR-Programmer Comma White,499.0,50,250.0,sutra,,,official_store,sutra
6,Over Size PR-Aliens DiD Mint,499.0,50,250.0,sutra,,,official_store,sutra
7,Over Size PR-Pyramids Pocket Mint,499.0,50,250.0,sutra,,,official_store,sutra
8,Over Size PR-Cairo Pocket Black,499.0,50,250.0,sutra,,,official_store,sutra
9,Over Size PR-Unique Line Black,349.0,50,175.0,sutra,,,official_store,sutra
10,Over Size PR-On Fire Orange,349.0,50,175.0,sutra,,,official_store,sutra
11,Over Size PR-Pharaonic Symbols Dark Blue,499.0,50,250.0,sutra,,,official_store,sutra
12,Over Size PR-Brush Black,349.0,50,175.0,sutra,,,official_store,sutra
1,Summer Milton Patch Karuh Green,399.0,50,200.0,sutra,,,official_store,sutra
2,Knitwear Round Vertical Multi Color Blue,479.0,50,240.0,sutra,,,official_store,sutra
3,Slim Fit PR-Grass Green,349.0,50,175.0,sutra,,,official_store,sutra
4,OVER SIZE PR-SUTRA Havan,499.0,50,250.0,sutra,,,official_store,sutra
5,Formal Pant - White,666.0,0,666.0,sutra,,,official_store,sutra
6,Slim Fit Polo Basic Wine,499.0,30,349.0,sutra,,,official_store,sutra
7,Slim Fit Polo Basic Watermelon,499.0,30,349.0,sutra,,,official_store,sutra
8,Slim Fit Polo Basic Dark Petrol,499.0,30,349.0,sutra,,,official_store,sutra
9,Knitwear Polo Line Collar Dark Blue,499.0,50,250.0,sutra,,,official_store,sutra
10,Milton boys Sweatpants Olive,349.0,30,244.0,sutra,,,official_store,sutra
11,Milton boys Sweatpants Petrol,349.0,30,244.0,sutra,,,official_store,sutra
12,Milton boys Sweatpants Dark Blue,349.0,30,244.0,sutra,,,official_store,sutra
1,Milton boys Sweatpants Dark Oily,349.0,30,244.0,sutra,,,official_store,sutra
2,Milton boys Sweatpants Mint,349.0,30,244.0,sutra,,,official_store,sutra
3,Milton boys Sweatpants Coffe,349.0,30,244.0,sutra,,,official_store,sutra
4,Milton boys Sweatpants Black,349.0,30,244.0,sutra,,,official_store,sutra
5,Over Size Slides Line Sleeves White,499.0,50,250.0,sutra,,,official_store,sutra
6,Over Size PR-Star White,349.0,50,175.0,sutra,,,official_store,sutra
7,Summer Milton Patch Lines White,399.0,50,200.0,sutra,,,official_store,sutra
8,Over Size PR-Brush Green,349.0,50,175.0,sutra,,,official_store,sutra
9,Over Size PR-Wings Black,349.0,50,175.0,sutra,,,official_store,sutra
10,Over Size PR-Plastic Art White,349.0,50,175.0,sutra,,,official_store,sutra
11,Linen Big Line Rose,599.0,0,599.0,sutra,,,official_store,sutra
